Card ID,Name,Type,Deck,Players,Cost,Prerequisite,Card Text,Bonus Points,banned,is_no,dealt,drafted,played,won,ADP,play_ratio,win_ratio,PWR,PWR_no_log,PWR_normalized
WM070,Clockwork Man,Minor Improvement,Wm,,1S,,Clockwork Man counts as 1 Occupation and 1 Minor Improvement.,1,False,True,832.0,672.0,465.0,126.0,4.67,0.5588942308,0.2709677419,2.16,2.0890198511,
E28,Clogs,Minor Improvement,E,,2 wood,,"At the end of the game, you receive 1 bonus point for a clay hut, or two for a stone house.","1 for clay hut, 2 for stone house",False,True,1074.0,996.0,769.0,245.0,3.89,0.7160148976,0.3185955787,3.26,3.2122299632,
G56482,Cloister,Minor Improvement,G5,,2S 1R,,"At the end of the game, you receive 1 Bonus point for each of the 5 columns of your farmyard that contains a room.",,False,True,865.0,775.0,543.0,168.0,3.36,0.6277456647,0.3093922652,2.77,2.6928112924,
WM010,Cloister Dweller,Occupation,Wm,,,,"At the end of the game, you receive 1 Bonus point for each of the 5 columns of your farmyard that is either all rooms, all fields, or all in the same pasture.",,False,True,1024.0,996.0,898.0,282.0,2.42,0.876953125,0.3140311804,3.93,3.9166277243,
U012,Coal Investor,Occupation,Unassigned,,,,"If you play this card in Stage 1, place 4 Wood and 4 Clay on the space for Round 9. At the start of this round, you receive the resources.",,False,True,679.0,636.0,529.0,166.0,3.56,0.7790868925,0.3137996219,3.49,3.4529182047,
G64525,Coal Miner,Occupation,G6,,,,"Whenever you use a Stone Accumulation space, you also receive 1 Wood and 1 Clay.",,False,True,537.0,287.0,107.0,24.0,5.87,0.199255121,0.2242990654,0.64,0.5907317764,
G89900,Coal Pit,Minor Improvement,G7,,,2 Occupations,"Whenever you use the ”Day Laborer” Action space, you receive 1 Building resource of your choice.",1,False,True,198.0,193.0,176.0,57.0,3.04,0.8888888889,0.3238636364,4.11,4.0891873278,
G67004,Coarse Grain,Minor Improvement,G6,,2W / 2C,1 Grain,You can convert 2 Wood/2 Clay into 3 Food at any time if you chose Wood/Clay as the cost of this card. (Mark this card with 1 Wood/Clay from the supply.),1,False,True,534.0,290.0,187.0,48.0,5.43,0.3501872659,0.256684492,1.28,1.2291739985,
FR072,Cocotte,Occupation,Fr,,,,"Whenever you use the ”Day Laborer” Action space, you can also play a Minor Improvement or pay 1 Food to play a Major Improvement.",,False,True,842.0,745.0,501.0,102.0,4.03,0.5950118765,0.2035928144,1.73,1.6753056493,
FR015,Coffee Break,Minor Improvement,Fr,,1C,,"Place 1 Food on the next 5 Round spaces. At the start of these rounds, you receive the Food. If you play an Occupation before receiving the Food, immediately remove this cards remaining Food from future Round spaces.",1,False,True,867.0,792.0,612.0,215.0,4.23,0.7058823529,0.3513071895,3.54,3.4557652357,
G45165,Coke Stove,Minor Improvement,G4,,,Return Fireplace,"Each Harvest, you may convert up to 1 Wood to 3 Food. (The Coke Stove cannot cook animals.)",2,False,True,631.0,255.0,122.0,24.0,5.93,0.1933438986,0.1967213115,0.54,0.5121790994,
G55335,Collar and Chain,Minor Improvement,G5,,1S,,You may keep two animals of the same type on Collar and Chain.,1,False,True,891.0,862.0,740.0,187.0,2.95,0.8305274972,0.2527027027,3.0,2.9496162829,
292,Collieryoverman,Occupation,G7,,,,,,False,True,298.0,266.0,161.0,56.0,4.08,0.5402684564,0.347826087,2.68,2.6011922131,
G44458,Commercial Baker,Occupation,G4,,,,"The Stone Oven is now a Minor Improvement for you. Once each round, instead of using an Action space, you may place a Family member on this card and receive 3 Grain.",,True,False,821.0,756.0,644.0,179.0,2.89,0.784409257,0.2779503106,3.11,3.0372854538,
294,Communaloven,Minor Improvement,G7,,,,,,False,False,299.0,222.0,87.0,23.0,4.51,0.2909698997,0.2643678161,1.1,1.0231148162,
295,Communitywell,Minor Improvement,G7,,,,,,False,False,302.0,291.0,219.0,57.0,3.02,0.7251655629,0.2602739726,2.7,2.5362553622,
296,Completion,Minor Improvement,G7,,,,,,False,False,382.0,325.0,164.0,62.0,3.72,0.4293193717,0.3780487805,2.32,2.1772442855,
G68508,Compost Farmer,Occupation,G6,,,,"Whenever you use the ”Plow 1 Field” or ”Plow and/or Sow” Action space, you may pay 1 Wood to build 1 Stable.",,False,True,598.0,480.0,300.0,66.0,4.53,0.5016722408,0.22,1.58,1.5346392738,
298,Confectioneryoven,Minor Improvement,G7,,,,,,False,False,283.0,206.0,118.0,38.0,4.62,0.4169611307,0.3220338983,1.92,1.8206863508,
E167,Conjurer,Occupation,E,4+,,,"Whenever you use the 'Travelling Players' action on an Action space, take 1 additional grain.",,False,True,754.0,440.0,238.0,49.0,5.24,0.3156498674,0.2058823529,0.93,0.8971758465,
E200,Conservator,Occupation,E,1+,,,You can renovate your wooden hut to a stone house without first needing to renovate it to a clay hut.,,False,True,862.0,797.0,584.0,153.0,4.16,0.6774941995,0.2619863014,2.54,2.4705039025,
U003,Consolation Prize,Minor Improvement,,,1F,,"You receive 1 building resource of each type in which all the revealed respective Accumulation spaces are occupied. (To receive Stone, at least 1 Stone Accumulation space must be revealed.) AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,,,,,,,,,,
K276,Constable,Occupation,K,3+,,,"If there are still 1/3/6/9 Rounds to play, you immediately receive 1/2/3/4 wood. At the end of the game, any player who has no negative points receives 5 bonus points.",5 for no negative points,False,True,956.0,899.0,655.0,203.0,2.62,0.6851464435,0.3099236641,3.03,2.9871602415,
303,Contractbuilder,Occupation,G4,,,,,,False,False,262.0,195.0,123.0,40.0,4.42,0.4694656489,0.325203252,2.18,1.8618506796,
WM011,Contractor,Occupation,Wm,,,,"Whenever you build a room, renovate your home, or build a Major Improvement, you can replace up to 1 Building resource of your choice with 1 Food.",,False,True,831.0,660.0,348.0,108.0,4.84,0.4187725632,0.3103448276,1.86,1.7659298252,
305,Convertedsilo,Minor Improvement,G7,,,,,,False,False,304.0,179.0,135.0,40.0,5.16,0.4440789474,0.2962962963,1.88,0.0,
FR073,Convict Number 24601,Occupation,Fr,,,,"Starting from next round, you cannot take actions with 1 of your Family members. At the end of the game, you receive 2 Bonus Points for every round after playing this card, including the current round.",,False,True,856.0,771.0,503.0,200.0,4.36,0.5876168224,0.3976143141,3.34,3.2581546767,
E181,Cook,Occupation,E,4+,,,"In the Feeding phase of each Harvest, only 2 of your people eat 2 food each; any others are satisfied with only 1.",,False,True,819.0,339.0,162.0,52.0,6.08,0.1978021978,0.3209876543,0.91,0.8790347415,
308,Cookeryseller,Occupation,,,,,,,False,True,,,,,,,,,,
WM071,Cookies,Minor Improvement,Wm,,,1 Occupation,"For each Grain that you Bake, you may place 1 Food from your supply in 1 of your rooms. You may have a maximum of 1 Food in each room. You cannot use these Food any more, but each is worth 1 Bonus point at the end of the game.",,False,True,1080.0,948.0,767.0,212.0,3.77,0.7101851852,0.2764015645,2.8,2.7164862758,
I85,Cooking Corner,Minor Improvement,I,,,Return Cooking Hearth,"At any time, you may convert goods to food as follows: vegetables →4 food; sheep →2 food; wild boar →3 food; cattle →4 food. Whenever you use a bread baking action, you may convert: grain →3 food.",3,False,True,866.0,787.0,569.0,175.0,3.96,0.6570438799,0.3075571178,2.89,2.8056596192,
A4,Cooking Hearth,Minor Improvement,K,,5C / Fireplace,,"At any time, you may convert goods to food as follows: vegetable →3 food; sheep →2 food; wild boar →3 food; cattle →4 food. Whenever you use a bread baking action, you may convert: grain →3 food.",1,False,True,888.0,616.0,322.0,64.0,5.25,0.3626126126,0.198757764,1.03,0.9336754678,
G56580,Cooking Instructor,Occupation,G5,,,,"Whenever another player builds an Improvement, you may immediately convert 1 Good to Food allowed by that Improvement, which may include Baking bread.",,True,False,467.0,58.0,11.0,6.0,6.33,0.0235546039,0.5454545455,0.18,0.1167996885,
G5267,Cook Pot,Minor Improvement,G5,,1S,1 Cooking Improvement,"Place 1 Food on the next 3 Round spaces. At the start of these rounds, you receive the Food.",1,False,True,760.0,644.0,437.0,121.0,4.79,0.575,0.2768878719,2.27,2.2119801793,
I78,Copse,Minor Improvement,I,,2W,1 Occupation,"When you sow, you can plant wood on this card. There can be up to 2 stacks of wood on this card, as shown. The wood is treated the same as sown grain and is harvested during the field phase.",1,False,True,699.0,285.0,123.0,37.0,5.95,0.1759656652,0.3008130081,0.76,0.7192953597,
G44385,Corn on the Cob,Minor Improvement,G4,,1 Grain,,"When you play this card, you receive 4 Food. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,734.0,437.0,269.0,60.0,5.46,0.3664850136,0.2230483271,1.17,0.0,
I239,Corn Profiteer,Occupation,I,4+,,,You can convert 1 grain to 3 food at any time with the Corn Profiteer. Any other player can stop this by paying you 2 food for the grain.,,True,False,724.0,144.0,57.0,8.0,6.1,0.0787292818,0.1403508772,0.16,0.1550838422,
FR016,Cornrick,Minor Improvement,Fr,,1F,1 field,"Place 1 Grain each on the spaces for rounds 7 and 9. At the start of these rounds, you receive the Grain.",,False,True,826.0,672.0,394.0,97.0,4.53,0.4769975787,0.2461928934,1.68,1.5882038955,
E35,Corn Scoop,Minor Improvement,E,,1 wood,,"Whenever you use the 'Take 1 grain' Action space, you receive 1 additional grain.",,False,True,911.0,772.0,608.0,149.0,3.89,0.6673984632,0.2450657895,2.34,2.2711914941,
K129,Corn Sheaf,Minor Improvement,K,,,,"When you play this card, you receive 1 grain. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,True,1073.0,885.0,817.0,227.0,4.47,0.761416589,0.2778457772,3.02,0.0,
I86,Corn Storehouse,Minor Improvement,I,,2W / 2C 2R,,"Whenever you have empty fields after the field phase of the harvest, you can sow grain in them immediately. Place 1 fewer grain from the supply on these fields.",1,True,False,783.0,136.0,57.0,12.0,5.98,0.0727969349,0.2105263158,0.22,0.153640807,
G44492,Cornucopia,Minor Improvement,G4,,1 Grain / 1 Vegetable 1R,,"During the Feeding phase of the Harvest, you receive 1 Grain/Vegetable if you chose Grain/Vegetable as the cost of this card. (Mark this card with 1 Grain/Vegetable from the supply.)",,False,True,769.0,668.0,452.0,117.0,3.92,0.5877763329,0.2588495575,2.17,2.067718925,
G070,Corral,Minor Improvement,G,,3W,1 Occupation,"You may keep up to 2 animals of the same type on each unsowed field orthogonally adjacent to your home. Different corrals may hold different types of animals. At the end of the game, you receive 1 bonus point for each of these fields that holds at least 1 animal.",,False,False,434.0,322.0,192.0,67.0,4.68,0.4423963134,0.3489583333,2.21,2.1249931424,
G54495,Costermonger’s Barrow,Minor Improvement,G5,,2W,,"During the Feeding phase of each Harvest, you may convert up to 1 Vegetable to 1 Bonus point and 2 Food.",1,False,True,811.0,678.0,464.0,126.0,3.64,0.5721331689,0.2715517241,2.22,2.1812151877,
G6895,Cottar,Occupation,G6,,,,"Whenever, at the start of a round, no other player has less Food than you, you receive 1 Wood.",,False,True,394.0,80.0,30.0,9.0,6.19,0.076142132,0.3,0.33,0.2501812908,
G45142,Cotton Field,Minor Improvement,G4,,,3 Occupations,You may immediately Plow 1 field.,,False,True,630.0,612.0,560.0,208.0,2.22,0.8888888889,0.3714285714,4.72,4.6407515387,
FR074,Country Doctor,Occupation,Fr,,,,"Once during the game, when you have 3 planted Grain fields, you may play the ”Family growth” action as ”Family growth even without room”.",,False,True,1016.0,996.0,773.0,224.0,2.1,0.7608267717,0.2897800776,3.15,3.1007120229,
K289,Countryman,Occupation,K,4+,,,"After all players have placed their Family members, you may move one of your Family members from a 'Take 1 Grain' or 'Take 1 Vegetable' Action space to a free 'Sowing' Action space after you have taken the Grain or Vegetables.",,False,True,858.0,563.0,297.0,78.0,5.25,0.3461538462,0.2626262626,1.3,1.2068739341,
G45039,Country Silo,Minor Improvement,G4,,3W,3 Occupations,"Whenever another player (or, in Solo game, you) uses the ”3 Wood” Action space, you receive 1 Grain.",,False,True,727.0,386.0,219.0,60.0,5.01,0.3012379642,0.2739726027,1.18,1.114410076,
WM012,Covetous Farmer,Occupation,Wm,,,,"Once each round, during one of your turns, you may take 1 Building resource from the general supply of a type that you do not have and every other player does have.",,False,True,770.0,172.0,65.0,12.0,6.34,0.0844155844,0.1846153846,0.22,0.2020836307,
330,Covetouswoman,Occupation,G7,,,,,,False,False,249.0,171.0,105.0,33.0,4.96,0.421686747,0.3142857143,1.89,1.8211621998,
G071,Cow Bell,Minor Improvement,G,,1C,,"You may keep up to 2 cattle on each unused space on your farmyard, to a maximum of 4 cattle.",,False,False,494.0,275.0,155.0,35.0,5.5,0.3137651822,0.2258064516,1.01,0.9533759958,
WM013,Cowboy,Occupation,Wm,,,,"You can use the ”Take 1 Sheep”, ”Wild boar” or ”Cattle” Action spaces, even if they are occupied. If you do this, take 1 animal of that type. Additionally, you can keep 2 animals of the same type on 1 of your Unused farmyard spaces. (The space still counts as used.)",,False,True,851.0,536.0,249.0,59.0,5.55,0.2925969448,0.2369477912,0.99,0.9267892453,
FR075,Cowboy And Mother,Occupation,Fr,,,,"From Round 4 on, at the end of any Work phase in which you used 2 or fewer Action spaces and have 2 or fewer Family members, you receive 1 Food. From Round 8/12, you may choose to receive an animal/Plow 1 field instead.",,False,True,828.0,710.0,547.0,148.0,3.57,0.6606280193,0.2705667276,2.55,2.4881308802,
G45339,Cow Chips,Minor Improvement,G4,,,1 Cattle,"Whenever you Sow a field that is orthogonally adjacent to a pasture, you may place extra good from the supply on it.",1,False,True,715.0,638.0,447.0,141.0,4.15,0.6251748252,0.3154362416,2.82,2.7604610155,
I240,Cowherd,Occupation,I,3+,,,"Whenever you use the 'Cattle' Action space, take 1 additional cattle from the supply.",,False,True,864.0,534.0,220.0,62.0,5.73,0.2546296296,0.2818181818,1.03,0.9971741222,
336,Cowshed,Minor Improvement,G7,,,,,,False,False,271.0,240.0,158.0,41.0,3.79,0.5830258303,0.2594936709,2.16,2.1065906862,
337,Craftteacher,Occupation,,,,,,,False,True,,,,,,,,,,
338,Crapsshooter,Occupation,G7,,,,,,False,False,343.0,293.0,221.0,72.0,4.22,0.6443148688,0.3257918552,3.0,2.9444744931,
WM072,Crib,Minor Improvement,Wm,,2W,,"At the end of any Work phase in which you have taken a ”Family Growth” action, you may take 2 Food from the general supply or pay 2 Food for 1 Bonus point.",,False,True,905.0,561.0,394.0,111.0,5.19,0.435359116,0.2817258883,1.75,1.6810163502,
340,Crockerylover,Occupation,G7,,,,,,False,False,340.0,326.0,220.0,61.0,3.66,0.6470588235,0.2772727273,2.56,2.4931245225,
341,Crookedplow,Minor Improvement,K,,,,,,False,True,972.0,868.0,709.0,159.0,3.42,0.7294238683,0.2242595205,2.34,2.2379808111,
342,Cropcrib,Minor Improvement,G6,,,,,,False,False,548.0,451.0,226.0,61.0,4.1,0.4124087591,0.2699115044,1.59,0.0070362749,
343,Cropfarmer,Occupation,G7,,,,,,False,True,306.0,278.0,202.0,53.0,3.61,0.660130719,0.2623762376,2.47,2.4008283181,
G54389,Crop Rotation Field,Minor Improvement,G5,,,1 Occupation,"When you Sow, you may Sow on this card as if it were 1 field. Whenever you remove the last Grain/Vegetable from this card, you may immediately Sow 1 Vegetable/Grain on this card from your supply.",,False,True,729.0,625.0,524.0,133.0,4.58,0.7187928669,0.2538167939,2.61,2.5515973989,
WM014,Crop Rotator,Occupation,Wm,,,,"Whenever you remove the last Grain/Vegetable from a field, you may immediately sow a Vegetable/Grain in that field. When you play this card, immediately take 1 Grain or Vegetable from each of your fields and place them in your supply.",,False,True,807.0,759.0,550.0,162.0,4.27,0.6815365551,0.2945454545,2.87,2.789552455,
346,Cryingstone,Minor Improvement,G7,,,,,,False,False,135.0,58.0,36.0,4.0,5.93,0.2666666667,0.1111111111,0.42,0.4115226337,
G66250,Crystal Ball,Minor Improvement,G6,,1C / 1S,2 Occupations,"Whenever any player plays an Occupation or Improvement which allows placement of one or more Building resources, Food, Grain and/or Vegetables on future round spaces, you receive 1 Food.",1,False,True,531.0,521.0,444.0,104.0,2.99,0.8361581921,0.2342342342,2.8,2.7412400294,
348,Culinaryartsteacher,Occupation,G7,,,,,,False,False,209.0,202.0,162.0,47.0,2.7,0.7751196172,0.2901234568,3.21,3.153084732,
349,Curedmeat,Minor Improvement,G6,,,,,,False,False,605.0,595.0,485.0,166.0,2.65,0.8016528926,0.3422680412,3.92,3.855061527,
G64274,Custom Improvements,Minor Improvement,G6,,,2 Occupations,You receive 1 Bonus point any time you play a Minor Improvement with an action that could have allowed you to play a Major Improvement instead (including this one).,,False,True,516.0,447.0,345.0,95.0,3.97,0.6686046512,0.2753623188,2.63,2.4776509862,
G55817,Dairy Crier,Occupation,G5,,,,"When you play this card, each player can choose to receive 2 Sheep or 2 food. You receive 1 additional Cattle.",,False,True,770.0,749.0,604.0,155.0,4.04,0.7844155844,0.2566225166,2.88,2.8376070476,
G66104,Dairy Supply,Minor Improvement,G6,,1F,,"When you play this card, you immediately receive 1 Sheep if the ”Fishing” action space is occupied and 1 Cattle if the ”Take 1 Sheep” action space is occupied. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,537.0,381.0,201.0,54.0,5.3,0.374301676,0.2686567164,1.44,0.0214410787,
E212,Dancer,Occupation,E,4+,,,"Whenever you use the 'Travelling Players' action on an Action space, you receive at least 4 Food, even if only 1 to 3 Food are on the space.",,False,True,839.0,701.0,470.0,87.0,4.18,0.5601907032,0.185106383,1.48,1.4466853361,
WM015,Debris Dealer,Occupation,Wm,,,,"When you renovate your Clay hut, you receive 2 Clay afterward. Once you live in a Clay hut or Stone house, whenever another player renovates their Wooden/Clay hut, you receive 2 Wood/Clay.",,False,True,813.0,556.0,290.0,93.0,5.44,0.356703567,0.3206896552,1.63,1.5270935961,
FR076,Debt Collector,Occupation,Fr,,,,"When you play this card, place a Guest token on any Round space at least 3 higher than the current round. At the start of that round, pay the Starting player (which may be you) 1 Food and place the Guest. After that, play starts with the starting player as usual.",,False,True,1007.0,951.0,858.0,254.0,2.46,0.8520357498,0.296037296,3.6,3.5823494612,
356,Deliveryman,Occupation,G4,,,,,,False,False,781.0,744.0,588.0,164.0,3.97,0.7528809219,0.2789115646,3.0,2.9539015167,
G56196,Dentist,Occupation,G5,,,,"When you play this card and at the end of each Harvest, you may place 1 Wood on this card from your supply. At the start of each Harvest, you receive 1 Food for every Wood on this card.",,True,False,768.0,459.0,248.0,66.0,5.18,0.3229166667,0.2661290323,1.23,1.1534238191,
WM073,Diamond Mine,Minor Improvement,Wm,,,3 Occupations,"Place 1 Stone each on the next 2 Round spaces. At the start of these rounds, you receive the Stone.",1,False,True,1034.0,1012.0,906.0,275.0,2.45,0.8762088975,0.3035320088,3.8,3.7658433812,
FR017,Diary,Minor Improvement,Fr,,,2 Occupations,"Whenever you play an Occupation, you receive 1 Wood.",,False,True,1054.0,1006.0,884.0,242.0,3.18,0.8387096774,0.2737556561,3.28,3.2058130507,
G64888,Dictionary,Minor Improvement,G6,,1W / 1R,,"You may use the ”Occupation” Action on an Action space even if it is occupied. At the end of the game, you receive 1 Bonus point if you have 7 played Occupations.",,False,True,514.0,383.0,271.0,56.0,4.55,0.5272373541,0.2066420664,1.56,1.5047310006,
361,Diggingsite,Minor Improvement,,,,,,,False,True,,,,,,,,,,
G45722,Diligent Farmer,Occupation,G4,,,,"When you play this card, if you would score the maximum 4 points in 3 scoring categories (including fenced stables), you can extend your home by 1 room at no cost.",,False,True,876.0,812.0,467.0,187.0,3.33,0.5331050228,0.4004282655,3.05,2.9320334511,
G44240,Dinghy,Minor Improvement,G4,,1W,,"Immediately take all the food from the ”Fishing” accumulation space and place an equal amount of wood from the general supply on the space afterward. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,716.0,529.0,360.0,81.0,5.07,0.5027932961,0.225,1.62,0.0044892259,
WM016,Diplomat,Occupation,Wm,,,,"Once during round 14, you may use an Action space even if it is occupied by other players. If you play this card in Round 7 or before, you may do this twice instead.",,False,True,901.0,853.0,618.0,154.0,3.99,0.6859045505,0.2491909385,2.44,2.3943191492,
E171,Dock Worker,Occupation,E,1+,,,"At any time, you can use the Dock Worker to convert 3 wood to either 1 clay, 1 reeds or 1 stone, or to convert 2 clay, 2 reeds or 2 stone to one other resource.",,False,True,785.0,164.0,47.0,13.0,6.37,0.0598726115,0.2765957447,0.24,0.1963099917,
G55310,Dolly’s Mother,Minor Improvement,G5,,,1 Sheep,You only require 1 Sheep to breed during the Breeding phase of a Harvest. This card can hold Sheep.,1,False,True,831.0,763.0,627.0,202.0,3.21,0.7545126354,0.322169059,3.47,3.4448883394,
367,Donatorv2,Occupation,G7,,,,,,False,False,89.0,39.0,20.0,5.0,5.59,0.2247191011,0.25,0.8,0.7223113965,
WM074,Donkey,Minor Improvement,Wm,,,1 pasture,"From now on, one of your pastures can not contain animals. (Mark this pasture with 1 Clay from the general supply.) Whenever you use the ”Plow 1 field” or ”Plow 1 field and/or Sow” Action space, you may Plow 1 additional field.",1,False,True,1033.0,949.0,805.0,285.0,2.56,0.7792836399,0.3540372671,3.94,3.8924025353,
G68410,Dormer,Minor Improvement,G6,,,1 Vegetable Field,"Pay 1 Reed less to build each room, for each Renovation, and for each Improvement.",1,False,True,570.0,543.0,375.0,123.0,3.79,0.6578947368,0.328,3.08,2.9922807018,
G55197,Dough,Minor Improvement,G5,,1F,,"When you use a ”Bake bread” action, you may discard this card for 5 Food.",1,False,True,748.0,546.0,381.0,114.0,5.3,0.5093582888,0.2992125984,2.18,1.3772008445,
E57,Dovecote,Minor Improvement,E,,2 stone,,"Place 1 Food each on the spaces for rounds 10 to 14. At the start of these rounds, take the food.",2,False,True,1053.0,987.0,773.0,232.0,3.7,0.7340930674,0.3001293661,3.15,3.1108239819,
FR077,Dove Hunter,Occupation,Fr,,,,"In the Feeding phase of each Harvest, the Chandler can convert either 1 Sheep to 4 Food or 1 Cattle to 6 Food.",,False,True,787.0,724.0,507.0,162.0,4.23,0.6442185515,0.3195266272,2.94,2.8594414089,
G63102,Dovetail Joints,Minor Improvement,G6,,,2 stables,"When you play this card, you receive 2 Food. From now on, the Joinery is a Minor Improvement for you and costs you nothing.",,False,True,569.0,543.0,408.0,142.0,3.16,0.7170474517,0.3480392157,3.57,3.3991276651,
WM075,Downsizing,Minor Improvement,Wm,,,1 Occupation,"Once during the game, when you build at least 1 fence, you may return 1 Wooden room that you built this game and build up to 7 additional fences from your supply at no cost. If there was a person in that room, move them into the rest of your home.",,False,True,1045.0,907.0,828.0,243.0,3.0,0.7923444976,0.2934782609,3.32,3.2497251033,
G44390,Dragonfly Pond,Minor Improvement,G4,,,Exactly 2 Occupations,"Place 1 Food on each of the next 2 Round spaces. At the start of these rounds, you receive the Food.",1,False,True,705.0,696.0,613.0,170.0,2.44,0.8695035461,0.277324633,3.44,3.3998257941,
WM076,Drained Pond,Minor Improvement,Wm,,1R,2 Occupations,"Add 4 to the current round and place 1 field on the corresponding Round space. At the start of that round, you may pay 1 Food to add the field to your farm.",1,False,True,882.0,804.0,581.0,162.0,4.12,0.6587301587,0.2788296041,2.62,2.5606800379,
FR078,Drawing Genius,Occupation,Fr,,,,"Immediately after using the most recent Round card, you may play 1 Major or Minor Improvement. (Pay costs for the Improvement normally.)",,False,True,804.0,406.0,174.0,56.0,5.68,0.2164179104,0.3218390805,1.0,0.9206839366,
G68967,Dray,Minor Improvement,G6,,,3 Occupations,"Whenever you use a Person to take exactly 1 resource from a Building resource Accumulation space, you receive an additional 1 Building resource of your choice and 1 Food.",1,False,True,592.0,572.0,468.0,142.0,3.23,0.7905405405,0.3034188034,3.43,3.3680658681,
G5235,Driftwood,Minor Improvement,G5,,,3 Occupations,"Place 1 Wood each on the next 2 Round spaces. At the start of the round, you receive the Wood.",1,False,False,848.0,830.0,765.0,291.0,2.14,0.9021226415,0.3803921569,4.9,4.8446170921,
380,Driftwood2,Minor Improvement,,,,,,,False,True,,,,,,,,,,
FR079,Drinker of Absinthe,Occupation,Fr,,,,"Place 1 Food each on the spaces for rounds 7 to 14. At the start of these rounds, you receive the Food.",,False,True,801.0,545.0,291.0,77.0,5.39,0.3632958801,0.264604811,1.37,1.3072147788,
E59,Drinking Trough,Minor Improvement,E,,"1 wood, 1 stone",,Each Pasture (with or without a stable) can hold up to 2 more animals.,1,False,True,801.0,375.0,161.0,46.0,5.79,0.2009987516,0.2857142857,0.82,0.7643506841,
G64524,Drunkard,Occupation,G6,,,,"At the start of each Round, you may pay 1 Food. If you do, at the end of each Work phase, you may move 1 Person from the ”Take 1 Grain” Action space to an unoccupied Action space and take that action.",,False,True,523.0,475.0,386.0,100.0,3.15,0.7380497132,0.2590673575,2.73,2.7031884887,
384,Drypond,Minor Improvement,G7,,,,,,False,False,238.0,181.0,147.0,50.0,4.86,0.6176470588,0.3401360544,3.0,0.0,
G65938,Dual Field,Minor Improvement,G6,,,2 Occupations,"On this card, you can plant 1 Grain and/or 1 Vegetables as you would on a field. (This card does not count as a field when scoring.)",,False,True,641.0,555.0,435.0,104.0,4.48,0.6786271451,0.2390804598,2.32,2.2485392027,
K114,Duck Pond,Minor Improvement,K,,,2 Occupations,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you receive the food.",1,False,True,1078.0,1068.0,1032.0,341.0,2.08,0.9573283859,0.3304263566,4.52,4.4707833299,
387,Dumplingmaker,Occupation,G7,,,,,,False,False,275.0,226.0,121.0,35.0,4.35,0.44,0.2892561983,1.82,1.652892562,
G56463,Dung Collector,Occupation,G5,,,,"Whenever you breed 2 or more newborn animals, you may pay 1 Food to Plow 1 field.",,False,True,853.0,725.0,565.0,198.0,3.48,0.6623681125,0.3504424779,3.32,3.239729489,
G072,Dunghill,Minor Improvement,G,,1W,2 Occupations,"Whenever you have 2/3 different types of animals at the beginning of the field phase, you may add 1 more resource on 1/2 of your planted fields (or planted cards).",,False,False,418.0,190.0,90.0,33.0,5.85,0.2153110048,0.3666666667,1.13,1.0651629073,
G63578,Dusk Worker,Occupation,G6,,,,You may immediately Plow 1 field and build 1 or 2 free fences.,,False,True,593.0,572.0,507.0,144.0,3.45,0.8549747049,0.2840236686,3.47,3.4416744236,
G69287,Eager Student,Occupation,G6,,,,"Whenever you use the most recent Round card with your last person, you may immediately afterward pay 1 Food to play 1 Occupation.",,True,False,530.0,318.0,197.0,69.0,4.89,0.3716981132,0.3502538071,1.86,1.7748710441,
392,Eagerstudent2,Occupation,,,,,,,False,True,,,,,,,,,,
393,Earlyexpert,Occupation,G7,,,,,,False,True,118.0,72.0,27.0,9.0,5.6,0.2288135593,0.3333333333,1.09,1.0492332526,
G014,Early Riser,Occupation,G,,,,"When you play this card, you receive 1 sheep. For you, the breeding phase of the harvest precedes the field and feeding phases. You may immediately cook baby animals if you do not have room to keep them.",,False,False,420.0,280.0,146.0,48.0,5.62,0.3476190476,0.3287671233,1.63,1.5431926195,
WM077,Edible Roots,Minor Improvement,Wm,,,3 fields,"Whenever you harvest the last good from a field and place it in your supply, you receive 1 Food.",,False,True,903.0,404.0,221.0,50.0,5.9,0.2447397564,0.2262443439,0.79,0.712270597,
G69013,Educated Sheep,Minor Improvement,G6,,1 Sheep,,"Choose two - receive 1 Grain; or receive 2 Food; or build 1 stable for 1 Wood; or receive 1 Building Resource of your choice. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,574.0,370.0,253.0,88.0,5.39,0.4407665505,0.347826087,2.19,0.0,
K271,Educator,Occupation,K,4+,,,"Whenever another player plays an Occupation card, you can pay 3 food to play one yourself. From your 4th Occupation, this only costs 2 food.",,False,True,1010.0,1006.0,973.0,297.0,1.24,0.9633663366,0.3052415211,4.2,4.1706267235,
